year(Date),FieldOfStudyId,Gender,Authorships
1946.0,192562407,1,4577
2001.0,41008148,0,38526
2008.0,142362112,0,17236
1990.0,127413603,0,8110
1933.0,185592680,1,4957
1960.0,205649164,1,3289
1992.0,144133560,0,3851
1967.0,17744445,1,8806
1904.0,17744445,1,347
1927.0,95457728,1,1507
1899.0,71924100,1,1723
1952.0,205649164,0,363
1908.0,205649164,1,827
1975.0,39432304,0,565
1965.0,144133560,1,2133
1921.0,127413603,0,139
2006.0,95457728,0,6510
1976.0,41008148,1,14987
1998.0,127313418,0,6482
1991.0,127413603,0,8975
1966.0,86803240,1,13468
1967.0,86803240,1,15241
1942.0,86803240,1,2796
1995.0,95457728,0,4234
1940.0,95457728,1,2004
1898.0,205649164,1,569
2017.0,33923547,1,118154
1899.0,17744445,0,38
1964.0,192562407,0,1728
1858.0,142362112,1,470
1885.0,39432304,1,36
1877.0,185592680,0,15
1869.0,71924100,0,20
1936.0,41008148,0,160
1881.0,127413603,1,156
2019.0,144024400,0,33916
1930.0,127313418,0,95
1973.0,144024400,1,7345
1999.0,127313418,1,25347
1982.0,86803240,1,47022
2016.0,121332964,1,148224
1997.0,121332964,0,13567
1983.0,121332964,1,23564
1982.0,138885662,1,10376
1971.0,138885662,1,7022
2018.0,162324750,1,30472
1993.0,121332964,0,8938
1987.0,127413603,0,6532
1987.0,95457728,1,11372
2008.0,121332964,0,39478
1992.0,121332964,0,7558
1967.0,41008148,1,10737
1922.0,121332964,1,757
1951.0,86803240,1,4176
2013.0,95457728,0,8882
1930.0,138885662,1,1828
1980.0,144133560,0,1447
1871.0,142362112,1,490
1946.0,185592680,0,887
1948.0,15744967,0,715
1957.0,15744967,1,3915
1822.0,138885662,1,84
1953.0,15744967,1,3232
1970.0,121332964,0,1196
1953.0,127313418,0,276
1940.0,15744967,1,1654
1905.0,86803240,1,764
1848.0,127313418,1,38
1929.0,17744445,0,261
1885.0,121332964,1,119
1860.0,71924100,0,23
1902.0,39432304,0,18
2018.0,142362112,0,11945
1932.0,144133560,0,111
1934.0,138885662,0,180
1870.0,138885662,1,249
2019.0,39432304,0,50136
2007.0,142362112,0,15954
1988.0,205649164,1,13557
1960.0,144024400,1,2461
2014.0,127413603,1,207894
2013.0,138885662,0,12197
1958.0,144133560,1,1460
1953.0,41008148,1,4374
1948.0,41008148,1,3194
1982.0,144024400,0,3790
1981.0,144133560,0,1616
1922.0,127413603,1,1626
1956.0,17744445,1,3724
1962.0,17744445,1,5705
1947.0,142362112,0,696
1955.0,144024400,1,1840
1923.0,33923547,1,488
1949.0,15744967,0,860
1909.0,192562407,1,789
1913.0,15744967,1,483
1932.0,127413603,1,3061
1913.0,192562407,1,855
1889.0,95457728,0,46
1926.0,86803240,0,385
1997.0,71924100,1,193187
1967.0,144133560,1,2488
1986.0,138885662,1,11944
1916.0,71924100,1,3021
1973.0,33923547,0,1183
1995.0,162324750,0,4323
1884.0,71924100,1,785
1945.0,127313418,1,876
2018.0,138885662,1,20386
1956.0,138885662,0,383
1954.0,15744967,0,1101
1947.0,127313418,1,1369
1913.0,86803240,1,1189
1918.0,138885662,1,665
1919.0,138885662,0,63
2019.0,142362112,0,9935
1942.0,41008148,0,198
2012.0,71924100,0,416187
2000.0,41008148,0,33779
2007.0,185592680,0,139576
1971.0,138885662,0,1061
1976.0,17744445,0,3928
1947.0,127413603,1,4887
1892.0,15744967,1,180
1912.0,71924100,0,237
1842.0,142362112,1,330
1968.0,142362112,0,2366
1907.0,127313418,1,564
1940.0,162324750,1,625
2018.0,121332964,1,145634
1953.0,17744445,0,488
1903.0,127413603,0,67
1892.0,144024400,1,101
1903.0,192562407,0,56
1894.0,41008148,1,212
1928.0,95457728,0,313
2007.0,33923547,0,31078
2002.0,185592680,1,209423
2009.0,127313418,1,45004
1988.0,95457728,1,11611
1961.0,192562407,1,15721
1986.0,144024400,1,11335
2004.0,205649164,0,15825
1981.0,95457728,0,3127
1941.0,71924100,1,7475
2015.0,86803240,1,316464
1974.0,142362112,1,11870
