year(Date),FieldOfStudyId,Gender,Authorships
1897.0,86803240,0,31
1864.0,33923547,1,28
1803.0,192562407,1,10
1894.0,144133560,0,3
1835.0,162324750,1,5
1883.0,192562407,0,3
,127313418,1,28
,33923547,1,21
1875.0,39432304,1,28
1875.0,162324750,0,3
1801.0,162324750,0,1
1828.0,138885662,0,4
1806.0,121332964,1,5
1814.0,86803240,1,7
1802.0,95457728,0,9
1895.0,127313418,0,7
1857.0,121332964,0,4
1824.0,138885662,0,6
1822.0,71924100,0,3
1807.0,205649164,0,4
1812.0,121332964,1,9
1866.0,144024400,0,3
1886.0,127313418,0,6
1820.0,17744445,0,2
1862.0,127413603,0,4
1802.0,162324750,1,2
1821.0,17744445,0,1
1854.0,71924100,0,7
1837.0,86803240,0,3
1837.0,17744445,0,3
1863.0,144024400,0,1
1837.0,144024400,0,2
1845.0,162324750,0,1
1836.0,138885662,0,1
1879.0,127313418,0,3
1817.0,138885662,0,3
1815.0,71924100,0,1
1831.0,17744445,0,1
1825.0,39432304,1,2
1875.0,17744445,0,1
1850.0,127313418,0,1
1869.0,41008148,0,2
1851.0,39432304,0,2
1803.0,86803240,0,1
1861.0,41008148,0,1
1809.0,15744967,0,1
1816.0,86803240,0,2
1826.0,86803240,0,1
1827.0,144133560,1,2
1862.0,162324750,0,1
1815.0,121332964,0,1
1859.0,162324750,0,2
1860.0,41008148,0,1
1881.0,162324750,0,1
1986.0,142362112,1,24783
2002.0,127413603,0,31692
2001.0,41008148,0,46300
1974.0,127413603,1,35394
2006.0,33923547,1,154131
1988.0,86803240,0,50854
1967.0,17744445,1,10179
1990.0,127413603,0,8971
1995.0,185592680,1,366780
2008.0,142362112,0,21711
1960.0,205649164,1,3832
1992.0,144133560,0,4411
1996.0,138885662,1,16455
1945.0,41008148,0,236
1933.0,185592680,1,6771
1946.0,192562407,1,5454
1908.0,205649164,1,923
1975.0,39432304,0,602
1927.0,95457728,1,1730
1965.0,144133560,1,2615
1904.0,17744445,1,395
1935.0,144024400,0,201
1899.0,71924100,1,1847
1927.0,162324750,0,67
1939.0,138885662,0,196
1967.0,86803240,1,21714
1991.0,127413603,0,9997
1995.0,95457728,0,4692
2006.0,95457728,0,7360
1976.0,41008148,1,21867
1940.0,95457728,1,2289
1966.0,86803240,1,19231
2017.0,33923547,1,207878
1998.0,127313418,0,7852
2019.0,144024400,0,46869
1881.0,127413603,1,182
1942.0,86803240,1,3482
1964.0,192562407,0,1817
1898.0,205649164,1,629
1946.0,185592680,0,1060
1997.0,121332964,0,16069
1967.0,41008148,1,13863
1992.0,121332964,0,8565
2013.0,95457728,0,10707
1983.0,121332964,1,34518
1950.0,39432304,0,157
1982.0,86803240,1,80523
1999.0,127313418,1,48272
1971.0,138885662,1,7997
2008.0,121332964,0,52374
1951.0,86803240,1,5334
1982.0,138885662,1,11854
1987.0,127413603,0,7138
1973.0,144024400,1,8630
1993.0,121332964,0,10280
2016.0,121332964,1,389463
1987.0,95457728,1,13549
1930.0,138885662,1,2046
1937.0,138885662,0,219
1957.0,15744967,1,4915
1953.0,15744967,1,3951
2018.0,162324750,1,48843
1980.0,144133560,0,1568
1948.0,15744967,0,786
1970.0,121332964,0,1293
2018.0,142362112,0,14514
1940.0,15744967,1,1936
1905.0,86803240,1,846
1932.0,144133560,0,114
1922.0,121332964,1,820
1938.0,144133560,0,123
1871.0,142362112,1,536
1885.0,121332964,1,129
1953.0,127313418,0,290
1870.0,138885662,1,268
1934.0,138885662,0,183
2019.0,39432304,0,79836
2007.0,142362112,0,19809
2014.0,127413603,1,412488
1982.0,144024400,0,4201
1922.0,127413603,1,1994
1988.0,205649164,1,19003
1948.0,41008148,1,3681
1962.0,17744445,1,6642
2013.0,138885662,0,16217
1981.0,144133560,0,1775
1932.0,127413603,1,3480
1836.0,138885662,1,110
1960.0,144024400,1,2869
1958.0,144133560,1,1781
1955.0,144024400,1,2105
1953.0,41008148,1,5167
1956.0,17744445,1,4323
1938.0,192562407,0,182
1913.0,15744967,1,582
1887.0,162324750,1,58
1909.0,192562407,1,996
1926.0,86803240,0,406
1913.0,192562407,1,1053
1947.0,142362112,0,742
1850.0,205649164,1,148
1888.0,15744967,1,200
1813.0,95457728,1,110
