AuthorId	PageRank	PageRank05	InDegreeStrength	InDegree	OutDegreeStrength	OutDegree	Gender	Rank
2011203757	1.2367457e-06	1.4398602e-06	17.63889	80.0	63.19444300000001	63.19444300000001	0	17641
2011525193	7.608574e-07	1.3579293999999999e-06	7.333333500000001	25.0	55.16666800000001	55.16666800000001	0	16483
2012498585	4.7988215e-07	1.0261032e-06	0.0	0.0	19.166666	19.166666	1	16227
2012893686	4.9930594e-07	1.0505343e-06	0.16666667	4.0	2.6666667	2.6666667	1	15331
2013611176	8.059045e-07	1.2362884e-06	7.5	20.0	14.0	14.0	1	17742
2014361212	1.2584263e-06	1.5744539e-06	30.666665999999996	111.0	116.04166399999998	116.04166399999998	0	16861
2017072126	1.2700727e-06	1.7041346999999998e-06	22.0	53.0	9.0	9.0	0	17110
2018834459	7.519771e-07	1.1959335e-06	2.6666667	9.0	3.3333333	3.3333333	0	18174
2019420957	5.0398177e-07	1.0517397e-06	0.5	6.0	1.75	1.75	0	17272
2020746810	1.1608464e-06	1.831321e-06	5.111111	26.0	1.6666666	1.6666666	0	16342
2020843333	6.013283e-07	1.1346677e-06	2.3333333	4.0	13.0	13.0	0	17544
2021732830	7.2293153e-07	1.3313329e-06	2.5	8.0	22.75	22.75	1	18657
2021997561	6.641182999999999e-06	6.47973e-06	121.25	201.0	68.25	68.25	0	16626
2022615813	4.972383e-07	1.0460124000000001e-06	1.0	2.0	14.666667000000002	14.666667000000002	1	18208
2022775531	4.7988215e-07	1.0261032e-06	0.0	0.0	1.3333334	1.3333334	1	18483
2022845018	4.852034000000001e-07	1.0327896e-06	0.5833333	2.0	38.416668	38.416668	1	16605
2023496944	5.650451999999999e-07	1.110192e-06	1.6886446	13.0	6.357143	6.357143	1	14714
2024771646	4.8446174e-07	1.0318063e-06	0.5	1.0	4.5	4.5	0	18533
2025663898	5.103754599999999e-07	1.0550204e-06	2.0	9.0	23.5	23.5	0	19032
2026240017	1.5661193e-06	1.994269e-06	19.666666	48.0	24.333334	24.333334	1	17246
2027857659	1.3157002e-06	1.5819621e-06	37.166668	41.0	163.66666999999998	163.66666999999998	1	17363
2028515688	1.2337366999999999e-06	1.4463831999999999e-06	21.743055	59.0	106.70138500000002	106.70138500000002	1	17335
2028983759	1.1742823999999998e-06	1.6195925e-06	16.666666	39.0	34.77778	34.77778	1	17487
2029984381	4.815735999999999e-07	1.0282276000000001e-06	0.33333334	1.0	80.666664	80.666664	1	16453
2030022844	4.897108e-07	1.0311232e-06	0.33333334	3.0	13.0	13.0	1	19397
2030866605	1.3988232e-05	8.461083e-06	181.83333000000002	313.0	84.93056	84.93056	1	15337
2031875994	1.13154e-06	1.7988821999999999e-06	6.2166667	67.0	11.164286	11.164286	1	14904
2032343150	5.7324576e-07	1.1301608999999998e-06	1.3333334	4.0	4.0	4.0	0	15682
2033748131	5.2102524e-07	1.0576919e-06	1.3333334	9.0	14.083332999999998	14.083332999999998	1	16380
2034288286	1.3347693000000001e-06	2.096647e-06	0.8333333	7.0	3.0833333	3.0833333	1	14947
2034620237	5.6170927e-07	1.0944535e-06	4.0833335	16.0	17.583334	17.583334	0	16972
2037186173	4.431542e-06	2.4785475e-06	73.583336	74.0	381.72222999999997	381.72222999999997	1	16265
2037608540	5.5033569999999996e-06	5.144724e-06	171.0	465.0	114.47916399999998	114.47916399999998	1	16629
2038335225	1.5898996e-06	2.0014080000000002e-06	23.25	55.0	30.333334000000004	30.333334000000004	0	17885
2041043665	5.4620733e-07	1.1050342e-06	1.0	1.0	7.0	7.0	1	16065
2041317550	4.7988215e-07	1.0261032e-06	0.0	0.0	0.5	0.5	0	15091
2042493609	2.3011503e-06	3.0668896e-06	12.0	40.0	28.833334000000004	28.833334000000004	1	15881
2042779649	1.1450459e-06	1.858263e-06	3.0	11.0	9.119047	9.119047	0	17442
2045452467	1.8281843000000001e-06	2.6052846e-06	24.55	54.0	21.1	21.1	1	17960
2045634954	5.908622e-07	1.0739216e-06	3.0	4.0	0.0	0.0	0	16441
2046358445	9.477415999999999e-06	7.138706e-06	159.14285	395.0	46.583332	46.583332	0	16619
2048825635	2.9556709000000002e-06	3.1861795999999998e-06	52.0	129.0	31.166665999999996	31.166665999999996	0	15979
2048895759	4.898181e-07	1.0370234000000002e-06	0.33333334	3.0	2.3333333	2.3333333	1	15890
2049872678	4.9131563e-07	1.0343416e-06	0.33333334	1.0	12.888889	12.888889	1	17354
